FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,Quality,ColorID,Color,QUALITYCATEGORY,prediction,error,error_decile,abs_error_decile,relative_error,PREDICTION2
5.8,0.26,0.24,9.2,0.044,55.0,152.0,0.9961,3.31,0.38,9.4,5,1,White,Low,5.2938886,0.29388865796859953,5,1,0.058777731593719906,5.0
5.8,0.26,0.24,9.2,0.044,55.0,152.0,0.9961,3.31,0.38,9.4,5,1,White,Low,5.2938886,0.29388865796859953,5,1,0.058777731593719906,5.0
5.8,0.26,0.29,1.0,0.042,35.0,101.0,0.99044,3.36,0.48,11.4,7,1,White,Mid,6.275216,-0.7247838327076828,3,2,-0.10354054752966897,6.0
5.8,0.26,0.3,2.6,0.034,75.0,129.0,0.9902,3.2,0.38,11.5,4,1,White,Low,6.052433,2.0524328969465095,8,7,0.5131082242366274,6.0
5.8,0.27,0.2,7.3,0.04,42.0,145.0,0.99442,3.15,0.48,9.8,5,1,White,Low,5.3684306,0.368430522810379,5,1,0.0736861045620758,5.0
5.8,0.27,0.22,12.7,0.058,42.0,206.0,0.9946,3.32,0.38,12.3,6,1,White,Mid,6.2659297,0.26592957877666556,5,1,0.04432159646277759,6.0
5.8,0.27,0.26,3.5,0.071,26.0,69.0,0.98994,3.1,0.38,11.5,6,1,White,Mid,5.889758,-0.11024202320358611,4,0,-0.01837367053393102,6.0
5.8,0.27,0.27,12.3,0.045,55.0,170.0,0.9972,3.28,0.42,9.3,6,1,White,Mid,5.5647764,-0.43522356757296876,3,1,-0.07253726126216146,6.0
5.8,0.27,0.4,1.2,0.076,47.0,130.0,0.99185,3.13,0.45,10.3,6,1,White,Mid,5.6661024,-0.3338976854581839,3,1,-0.055649614243030644,6.0
5.8,0.28,0.18,1.2,0.058,7.0,108.0,0.99288,3.23,0.58,9.55,4,1,White,Low,4.825661,0.8256609601887526,6,3,0.20641524004718814,5.0
5.8,0.28,0.27,2.6,0.054,30.0,156.0,0.9914,3.53,0.42,12.4,5,1,White,Low,6.3578806,1.357880361480361,7,5,0.27157607229607217,6.0
5.8,0.28,0.3,1.5,0.026,31.0,114.0,0.98952,3.32,0.6,12.5,7,1,White,Mid,6.78899,-0.21100994597705824,4,0,-0.030144277996722608,7.0
5.8,0.28,0.3,3.9,0.026,36.0,105.0,0.98963,3.26,0.58,12.75,6,1,White,Mid,6.6640673,0.6640674602222294,5,2,0.11067791003703824,7.0
5.8,0.28,0.34,2.2,0.037,24.0,125.0,0.98986,3.36,0.33,12.8,8,1,White,High,7.12352,-0.8764803282296398,2,3,-0.10956004102870498,7.0
5.8,0.28,0.35,2.3,0.053,36.0,114.0,0.9924,3.28,0.5,10.2,4,1,White,Low,5.4597707,1.4597705585512832,7,5,0.3649426396378208,5.0
5.8,0.28,0.66,9.1,0.039,26.0,159.0,0.9965,3.66,0.55,10.8,5,1,White,Low,5.8049264,0.8049262770716776,6,3,0.16098525541433553,6.0
5.8,0.29,0.05,0.8,0.038,11.0,30.0,0.9924,3.36,0.35,9.2,5,1,White,Low,5.0653224,0.065322497322998,4,0,0.013064499464599599,5.0
5.8,0.29,0.15,1.1,0.029,12.0,83.0,0.9898,3.3,0.4,11.4,6,1,White,Mid,5.893093,-0.10690667793597619,4,0,-0.01781777965599603,6.0
5.8,0.29,0.27,1.6,0.062,17.0,140.0,0.99138,3.23,0.35,11.1,6,1,White,Mid,5.8261795,-0.17382060900259333,4,0,-0.02897010150043222,6.0
5.8,0.29,0.33,3.7,0.029,30.0,88.0,0.98994,3.25,0.42,12.3,6,1,White,Mid,6.491168,0.491167859917371,5,1,0.0818613099862285,6.0
5.8,0.3,0.09,6.3,0.042,36.0,138.0,0.99382,3.15,0.48,9.7,5,1,White,Low,5.1831994,0.18319948393520136,5,0,0.03663989678704027,5.0
5.8,0.3,0.12,1.6,0.036,57.0,163.0,0.99239,3.38,0.59,10.5,6,1,White,Mid,5.91346,-0.0865402717957382,4,0,-0.014423378632623033,6.0
5.8,0.3,0.27,1.7,0.014,45.0,104.0,0.98914,3.4,0.56,12.6,7,1,White,Mid,6.9255595,-0.07444058135967246,4,0,-0.010634368765667495,7.0
5.8,0.3,0.42,1.1,0.036,19.0,113.0,0.98871,3.1,0.46,12.6,7,1,White,Mid,6.4977098,-0.502290040608008,3,1,-0.07175572008685828,6.0
5.8,0.31,0.32,4.5,0.024,28.0,94.0,0.98906,3.25,0.52,13.7,7,1,White,Mid,6.891239,-0.10876086360330728,4,0,-0.015537266229043898,7.0
5.8,0.32,0.28,4.3,0.032,46.0,115.0,0.98946,3.16,0.57,13.0,8,1,White,High,7.217511,-0.7824889744590324,3,2,-0.09781112180737905,7.0
5.8,0.32,0.28,4.3,0.032,46.0,115.0,0.98946,3.16,0.57,13.0,8,1,White,High,7.217511,-0.7824889744590324,3,2,-0.09781112180737905,7.0
5.8,0.32,0.38,4.75,0.033,23.0,94.0,0.991,3.42,0.42,11.8,7,1,White,Mid,6.896791,-0.10320897721577893,4,0,-0.014744139602254134,7.0
5.8,0.33,0.2,16.05,0.047,26.0,166.0,0.9976,3.09,0.46,8.9,5,1,White,Low,5.1287208,0.12872096053125492,4,0,0.025744192106250986,5.0
5.8,0.335,0.14,5.8,0.046,49.0,197.0,0.9937,3.3,0.71,10.3,5,1,White,Low,5.2194824,0.2194824586399795,5,0,0.0438964917279959,5.0
5.8,0.34,0.16,7.0,0.037,26.0,116.0,0.9949,3.46,0.45,10.0,7,1,White,Mid,5.8934097,-1.106590071548296,2,4,-0.15808429593547085,6.0
5.8,0.34,0.21,6.6,0.04,50.0,167.0,0.9941,3.29,0.62,10.0,5,1,White,Low,5.487657,0.4876572609796561,5,1,0.09753145219593122,5.0
5.8,0.34,0.21,7.2,0.041,48.0,146.0,0.99441,3.16,0.49,9.8,5,1,White,Low,5.2500052,0.25000503208814884,5,0,0.050001006417629765,5.0
5.8,0.35,0.29,3.2,0.034,41.0,151.0,0.9912,3.35,0.58,11.63333333,7,1,White,Mid,6.6276093,-0.3723906316456942,3,1,-0.0531986616636706,7.0
5.8,0.36,0.26,3.3,0.038,40.0,153.0,0.9911,3.34,0.55,11.3,6,1,White,Mid,6.2319465,0.2319466575724869,5,0,0.038657776262081146,6.0
5.8,0.36,0.5,1.0,0.127,63.0,178.0,0.99212,3.1,0.45,9.7,5,1,White,Low,5.18868,0.18868025793909382,5,0,0.037736051587818766,5.0
5.8,0.38,0.26,1.1,0.058,20.0,140.0,0.99271,3.27,0.43,9.7,6,1,White,Mid,5.420929,-0.5790711384210336,3,2,-0.09651185640350561,5.0
5.8,0.4,0.42,4.4,0.047,38.5,245.0,0.9937,3.25,0.57,9.6,6,1,White,Mid,5.539797,-0.46020305163279573,3,1,-0.07670050860546596,6.0
5.8,0.42,0.3,2.2,0.035,26.0,129.0,0.989,3.32,0.47,12.9,6,1,White,Mid,6.786413,0.786413179820963,6,2,0.13106886330349385,7.0
5.8,0.555,0.26,4.5,0.053,17.0,126.0,0.9943,3.24,0.46,9.1,5,1,White,Low,5.0630517,0.06305165418993308,4,0,0.012610330837986617,5.0
5.8,0.6,0.0,1.3,0.044,72.0,197.0,0.99202,3.56,0.43,10.9,5,1,White,Low,5.1495833,0.14958334157762465,4,0,0.02991666831552493,5.0
5.8,0.61,0.01,8.4,0.041,31.0,104.0,0.9909,3.26,0.72,14.05,7,1,White,Mid,6.905985,-0.09401506008409566,4,0,-0.013430722869156522,7.0
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,5,0,Red,Low,5.0844207,0.08442091128108942,4,0,0.016884182256217885,5.0
5.9,0.12,0.28,1.4,0.037,36.0,83.0,0.99074,3.33,0.42,10.9,7,1,White,Mid,6.566325,-0.43367496301321484,3,1,-0.061953566144744975,7.0
5.9,0.14,0.2,1.6,0.04,26.0,114.0,0.99105,3.25,0.45,11.4,6,1,White,Mid,6.0686507,0.06865075806444665,4,0,0.011441793010741108,6.0
5.9,0.14,0.25,4.5,0.027,34.0,140.0,0.9934,3.49,0.51,10.8,6,1,White,Mid,6.3798566,0.3798564681765777,5,1,0.06330941136276295,6.0
5.9,0.17,0.29,3.1,0.03,32.0,123.0,0.98913,3.41,0.33,13.7,7,1,White,Mid,6.8744125,-0.12558723760463142,4,0,-0.017941033943518776,7.0
5.9,0.18,0.28,1.0,0.037,24.0,88.0,0.99094,3.29,0.55,10.65,7,1,White,Mid,6.3754044,-0.6245958698280036,3,2,-0.08922798140400053,6.0
5.9,0.18,0.28,5.1,0.039,50.0,139.0,0.99165,3.16,0.44,11.3,6,1,White,Mid,6.3393793,0.3393794308628957,5,1,0.05656323847714928,6.0
5.9,0.19,0.26,7.4,0.034,33.0,123.0,0.995,3.49,0.42,10.1,6,1,White,Mid,5.9523163,-0.04768363916465557,4,0,-0.007947273194109261,6.0
5.9,0.2,0.28,1.0,0.043,45.0,100.0,0.99033,3.4,0.41,11.4,6,1,White,Mid,6.1973915,0.19739164671936393,5,0,0.03289860778656065,6.0
5.9,0.2,0.4,1.3,0.047,23.0,92.0,0.99232,3.2,0.45,10.0,6,1,White,Mid,5.8415475,-0.1584525850830456,4,0,-0.0264087641805076,6.0
5.9,0.21,0.24,12.1,0.044,53.0,165.0,0.9969,3.25,0.39,9.5,5,1,White,Low,5.374605,0.3746051659050673,5,1,0.07492103318101347,5.0
5.9,0.21,0.28,4.6,0.053,40.0,199.0,0.9964,3.72,0.7,10.0,4,1,White,Low,5.53412,1.534119957889975,7,5,0.3835299894724937,6.0
5.9,0.21,0.31,1.8,0.033,45.0,142.0,0.98984,3.35,0.5,12.7,6,1,White,Mid,6.7631197,0.7631197368461411,6,2,0.1271866228076902,7.0
5.9,0.22,0.18,6.4,0.041,28.0,120.0,0.99403,3.27,0.5,9.9,5,1,White,Low,5.7125597,0.7125595423814506,6,2,0.1425119084762901,6.0
5.9,0.22,0.3,1.3,0.052,42.0,86.0,0.99069,3.31,0.47,11.55,6,1,White,Mid,6.1741567,0.17415666690101617,4,0,0.02902611115016936,6.0
5.9,0.22,0.45,22.6,0.12,55.0,122.0,0.99636,3.1,0.35,12.8,5,1,White,Low,6.335526,1.33552605481876,7,5,0.267105210963752,6.0
5.9,0.23,0.24,1.6,0.037,32.0,115.0,0.99076,3.21,0.51,11.4,6,1,White,Mid,6.200493,0.20049293455849782,5,0,0.03341548909308297,6.0
5.9,0.23,0.28,8.6,0.046,37.0,142.0,0.99432,3.23,0.53,10.6,6,1,White,Mid,6.0132675,0.013267371913967985,4,0,0.0022112286523279976,6.0
5.9,0.24,0.28,1.3,0.032,36.0,95.0,0.98889,3.08,0.64,12.9,7,1,White,Mid,6.752893,-0.24710685988962844,4,0,-0.035300979984232636,7.0
5.9,0.24,0.3,2.0,0.033,28.0,92.0,0.99225,3.39,0.69,10.9,7,1,White,Mid,6.703048,-0.2969518388315624,4,1,-0.042421691261651774,7.0
5.9,0.25,0.19,12.4,0.047,50.0,162.0,0.9973,3.35,0.38,9.5,5,1,White,Low,5.240124,0.24012441028633003,5,0,0.048024882057266,5.0
5.9,0.25,0.24,7.4,0.044,21.0,113.0,0.99462,3.38,0.58,10.5,6,1,White,Mid,5.816758,-0.18324201119923167,4,0,-0.030540335199871944,6.0
5.9,0.25,0.25,11.3,0.052,30.0,165.0,0.997,3.24,0.44,9.5,6,1,White,Mid,5.4147396,-0.5852601727959463,3,2,-0.09754336213265773,5.0
5.9,0.25,0.27,1.5,0.029,37.0,81.0,0.9892,3.2,0.46,12.2,6,1,White,Mid,6.3225846,0.3225845515888466,5,1,0.05376409193147443,6.0
5.9,0.26,0.21,12.5,0.034,36.0,152.0,0.9972,3.28,0.43,9.5,6,1,White,Mid,5.499976,-0.5000238223554234,3,1,-0.08333730372590391,5.0
5.9,0.26,0.24,2.4,0.046,27.0,132.0,0.99234,3.63,0.73,11.3,5,1,White,Low,6.0041776,1.0041774150765947,6,3,0.20083548301531895,6.0
5.9,0.26,0.3,1.0,0.036,38.0,114.0,0.9928,3.58,0.48,9.4,5,1,White,Low,5.658377,0.658377349744991,5,2,0.1316754699489982,6.0
5.9,0.27,0.27,5.0,0.035,14.0,97.0,0.99058,3.1,0.33,11.8,7,1,White,Mid,6.3422985,-0.6577016902484818,3,2,-0.09395738432121169,6.0
5.9,0.27,0.29,11.4,0.036,31.0,115.0,0.9949,3.35,0.48,10.5,8,1,White,High,6.5023475,-1.497652331103919,1,5,-0.18720654138798987,7.0
5.9,0.28,0.14,8.6,0.032,30.0,142.0,0.99542,3.28,0.44,9.5,6,1,White,Mid,5.578349,-0.42165078789986765,3,1,-0.0702751313166446,6.0
5.9,0.28,0.14,8.6,0.032,30.0,142.0,0.99542,3.28,0.44,9.5,6,1,White,Mid,5.578349,-0.42165078789986765,3,1,-0.0702751313166446,6.0
5.9,0.28,0.34,3.6,0.04,50.0,194.0,0.9912,3.31,0.52,11.6,6,1,White,Mid,6.2762547,0.2762548237753579,5,1,0.04604247062922632,6.0
5.9,0.28,0.39,1.4,0.031,47.0,147.0,0.98836,3.08,0.64,12.9,7,1,White,Mid,6.7323613,-0.26763892013470336,4,1,-0.03823413144781477,7.0
5.9,0.29,0.16,7.9,0.044,48.0,197.0,0.99512,3.21,0.36,9.4,5,1,White,Low,5.167576,0.16757602198049693,4,0,0.03351520439609938,5.0
5.9,0.29,0.25,12.0,0.057,48.0,224.0,0.9981,3.23,0.41,9.0,6,1,White,Mid,5.395567,-0.6044328427873369,3,2,-0.10073880713122281,5.0
5.9,0.29,0.33,7.4,0.037,58.0,205.0,0.99495,3.26,0.41,9.6,5,1,White,Low,5.5479474,0.5479474176526882,5,2,0.10958948353053763,6.0
5.9,0.3,0.3,2.0,0.03,38.0,142.0,0.98892,3.41,0.41,12.9,7,1,White,Mid,7.017088,0.017088084545719973,4,0,0.0024411549351028533,7.0
5.9,0.3,0.47,7.85,0.03,19.0,133.0,0.9933,3.52,0.43,11.5,7,1,White,Mid,6.619621,-0.3803791586286014,3,1,-0.05433987980408591,7.0
5.9,0.32,0.19,14.5,0.042,37.0,115.0,0.99684,3.16,0.43,10.3,5,1,White,Low,5.5941434,0.5941431555047014,5,2,0.11882863110094029,6.0
5.9,0.32,0.28,4.7,0.039,34.0,94.0,0.98964,3.22,0.57,13.1,7,1,White,Mid,6.93334,-0.06665983420680366,4,0,-0.009522833458114808,7.0
5.9,0.32,0.33,2.1,0.027,35.0,138.0,0.98945,3.37,0.42,12.7,6,1,White,Mid,6.802554,0.8025538973750566,6,3,0.13375898289584276,7.0
5.9,0.32,0.39,3.3,0.114,24.0,140.0,0.9934,3.09,0.45,9.2,6,1,White,Mid,5.384276,-0.6157243149158793,3,2,-0.10262071915264655,5.0
5.9,0.34,0.25,2.0,0.042,12.0,110.0,0.99034,3.02,0.54,11.4,6,1,White,Mid,5.8168707,-0.18312935327246027,4,0,-0.030521558878743377,6.0
5.9,0.34,0.31,2.0,0.03,38.0,142.0,0.98892,3.4,0.41,12.9,7,1,White,Mid,7.028753,0.028752688030134976,4,0,0.004107526861447853,7.0
5.9,0.36,0.04,5.7,0.046,21.0,87.0,0.9934,3.22,0.51,10.2,5,1,White,Low,5.2488513,0.24885141063968685,5,0,0.04977028212793737,5.0
5.9,0.37,0.1,1.6,0.057,39.0,128.0,0.9924,3.24,0.48,10.1,5,1,White,Low,5.315323,0.31532307560759154,5,1,0.06306461512151831,5.0
5.9,0.37,0.3,1.5,0.033,35.0,95.0,0.98986,3.36,0.56,12.0,7,1,White,Mid,6.654426,-0.3455740625596455,3,1,-0.049367723222806505,7.0
5.9,0.37,0.32,1.6,0.029,41.0,102.0,0.98916,3.41,0.55,12.7,7,1,White,Mid,6.9521356,-0.04786420526153723,4,0,-0.006837743608791033,7.0
5.9,0.395,0.13,2.4,0.056,14.0,28.0,0.99362,3.62,0.67,12.4,6,0,Red,Mid,6.119161,0.11916105391652909,4,0,0.019860175652754847,6.0
5.9,0.415,0.02,0.8,0.038,22.0,63.0,0.9932,3.36,0.36,9.3,5,1,White,Low,5.0221004,0.022100659964861435,4,0,0.004420131992972287,5.0
5.9,0.42,0.36,2.4,0.034,19.0,77.0,0.99184,3.25,0.48,10.9,5,1,White,Low,5.8196383,0.8196381691011148,6,3,0.16392763382022296,6.0
5.9,0.44,0.0,1.6,0.042,3.0,11.0,0.9944,3.48,0.85,11.7,6,0,Red,Mid,6.0449376,0.044937651696598024,4,0,0.0074896086160996704,6.0
5.9,0.44,0.33,1.2,0.049,12.0,117.0,0.99134,3.46,0.44,11.5,5,1,White,Low,5.6523743,0.6523742170771278,5,2,0.13047484341542556,6.0
5.9,0.445,0.26,1.4,0.027,23.0,109.0,0.99148,3.3,0.36,10.5,6,1,White,Mid,5.7205825,-0.27941763010614906,4,1,-0.04656960501769151,6.0
5.9,0.46,0.14,2.7,0.042,27.0,160.0,0.9931,3.46,0.51,10.6,7,1,White,Mid,5.8903966,-1.1096036043360433,2,4,-0.15851480061943476,6.0
5.9,0.48,0.3,1.5,0.037,19.0,78.0,0.99057,3.47,0.42,11.9,7,1,White,Mid,6.343667,-0.6563332033057865,3,2,-0.09376188618654092,6.0
5.9,0.54,0.0,0.8,0.032,12.0,82.0,0.99286,3.25,0.36,8.8,5,1,White,Low,4.716248,-0.2837517309636688,4,1,-0.05675034619273376,5.0
5.9,0.61,0.08,2.1,0.071,16.0,24.0,0.99376,3.56,0.77,11.1,6,0,Red,Mid,5.8933992,-0.10660065572413302,4,0,-0.01776677595402217,6.0
5.9,0.61,0.08,2.1,0.071,16.0,24.0,0.99376,3.56,0.77,11.1,6,0,Red,Mid,5.8933992,-0.10660065572413302,4,0,-0.01776677595402217,6.0
5.9,0.62,0.28,3.5,0.039,55.0,152.0,0.9907,3.44,0.44,12.0,6,1,White,Mid,6.511379,0.5113786447325888,5,1,0.08522977412209813,7.0
6.0,0.1,0.24,1.1,0.041,15.0,65.0,0.9927,3.61,0.61,10.3,7,1,White,Mid,6.259603,-0.740396915959316,3,2,-0.105770987994188,6.0
6.0,0.11,0.47,10.6,0.052,69.0,148.0,0.9958,2.91,0.34,9.3,4,1,White,Low,5.4921026,1.4921026068270011,7,5,0.3730256517067503,5.0
6.0,0.13,0.28,5.7,0.038,56.0,189.5,0.9948,3.59,0.43,10.6,7,1,White,Mid,6.160082,-0.8399180092345295,2,3,-0.11998828703350421,6.0
6.0,0.13,0.36,1.6,0.052,23.0,72.0,0.98974,3.1,0.5,11.5,7,1,White,Mid,6.388679,-0.6113209846040375,3,2,-0.08733156922914821,6.0
6.0,0.14,0.37,1.2,0.032,63.0,148.0,0.99185,3.32,0.44,11.2,5,1,White,Low,6.12536,1.125360054450617,6,4,0.2250720108901234,6.0
6.0,0.14,0.37,1.2,0.032,63.0,148.0,0.99185,3.32,0.44,11.2,5,1,White,Low,6.12536,1.125360054450617,6,4,0.2250720108901234,6.0
6.0,0.16,0.22,1.6,0.042,36.0,106.0,0.9905,3.24,0.32,11.4,6,1,White,Mid,6.0449634,0.04496316943220435,4,0,0.007493861572034059,6.0
6.0,0.16,0.27,12.0,0.03,39.0,98.0,0.99402,3.15,0.34,10.8,5,1,White,Low,6.121579,1.1215792522227046,6,4,0.22431585044454092,6.0
6.0,0.16,0.3,6.7,0.043,43.0,153.0,0.9951,3.63,0.46,10.6,5,1,White,Low,5.63395,0.6339503191599434,5,2,0.12679006383198868,6.0
6.0,0.16,0.36,1.6,0.042,13.0,61.0,0.99143,3.22,0.54,10.8,6,1,White,Mid,6.0633674,0.06336732135389678,4,0,0.010561220225649462,6.0
6.0,0.16,0.37,1.5,0.025,43.0,117.0,0.9928,3.46,0.51,9.7,6,1,White,Mid,6.0742188,0.07421887050285125,4,0,0.01236981175047521,6.0
6.0,0.17,0.21,6.0,0.05,26.0,134.0,0.9939,3.08,0.54,9.8,6,1,White,Mid,5.7163534,-0.28364671688258714,4,1,-0.04727445281376452,6.0
6.0,0.17,0.29,5.0,0.028,25.0,108.0,0.99076,3.14,0.34,12.3,6,1,White,Mid,6.4525914,0.45259127854869785,5,1,0.07543187975811631,6.0
6.0,0.17,0.29,9.7,0.044,33.0,98.0,0.99536,3.12,0.36,9.2,6,1,White,Mid,5.897385,-0.10261485505562984,4,0,-0.017102475842604974,6.0
6.0,0.17,0.33,6.0,0.036,30.0,111.0,0.99362,3.32,0.58,10.13333333,7,1,White,Mid,6.5472674,-0.45273238152524087,3,1,-0.06467605450360583,7.0
6.0,0.17,0.33,6.0,0.036,30.0,111.0,0.99362,3.32,0.58,10.15,7,1,White,Mid,6.5472674,-0.45273238152524087,3,1,-0.06467605450360583,7.0
6.0,0.17,0.36,1.7,0.042,14.0,61.0,0.99144,3.22,0.54,10.8,6,1,White,Mid,6.1693487,0.16934866175852292,4,0,0.02822477695975382,6.0
6.0,0.17,0.49,1.0,0.034,26.0,106.0,0.992,3.21,0.42,9.8,6,1,White,Mid,5.6556816,-0.3443183946336088,3,1,-0.05738639910560147,6.0
6.0,0.18,0.27,1.5,0.089,40.0,143.0,0.9923,3.49,0.62,10.8,6,1,White,Mid,6.036577,0.03657741756806132,4,0,0.006096236261343553,6.0
6.0,0.18,0.31,1.4,0.036,14.0,75.0,0.99085,3.34,0.58,11.1,8,1,White,High,6.589921,-1.4100789186643228,1,5,-0.17625986483304035,7.0
6.0,0.19,0.26,1.4,0.039,30.0,104.0,0.98998,3.32,0.41,12.4,6,1,White,Mid,6.3512006,0.3512005693678226,5,1,0.05853342822797044,6.0
6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,6,1,White,Mid,5.837075,-0.16292482963061605,4,0,-0.02715413827176934,6.0
6.0,0.19,0.29,1.1,0.047,67.0,152.0,0.9916,3.54,0.59,11.1,7,1,White,Mid,6.58503,-0.41496989774393445,3,1,-0.059281413963419204,7.0
6.0,0.19,0.29,1.2,0.046,29.0,92.0,0.99033,3.22,0.53,11.3,6,1,White,Mid,6.1220675,0.12206729708865893,4,0,0.02034454951477649,6.0
6.0,0.19,0.37,9.7,0.032,17.0,50.0,0.9932,3.08,0.66,12.0,6,1,White,Mid,6.282666,0.2826660735111002,5,1,0.04711101225185003,6.0
6.0,0.19,0.71,1.5,0.152,9.0,55.0,0.9927,3.12,0.46,9.8,6,1,White,Mid,5.568509,-0.4314910412071038,3,1,-0.0719151735345173,6.0
6.0,0.2,0.24,5.3,0.075,49.0,201.0,0.99466,3.21,0.43,9.5,5,1,White,Low,5.4764485,0.47644837853475774,5,1,0.09528967570695154,5.0
6.0,0.2,0.26,6.8,0.049,22.0,93.0,0.9928,3.15,0.42,11.0,6,1,White,Mid,6.003131,0.003130904546281954,4,0,5.218174243803256E-4,6.0
6.0,0.2,0.33,1.1,0.039,45.0,126.0,0.99051,3.31,0.45,11.6,7,1,White,Mid,6.428808,-0.5711919317833027,3,2,-0.08159884739761468,6.0
6.0,0.2,0.38,1.3,0.034,37.0,104.0,0.98865,3.11,0.52,12.7,6,1,White,Mid,6.424089,0.4240890933603376,5,1,0.07068151556005627,6.0
6.0,0.2,0.71,1.6,0.15,10.0,54.0,0.9927,3.12,0.47,9.8,5,1,White,Low,5.544413,0.5444132416515357,5,2,0.10888264833030714,6.0
6.0,0.21,0.24,12.1,0.05,55.0,164.0,0.997,3.34,0.39,9.4,5,1,White,Low,5.287525,0.28752523953518416,5,1,0.05750504790703683,5.0
6.0,0.21,0.29,13.1,0.042,28.0,125.0,0.99936,3.39,0.45,8.6,5,1,White,Low,5.5770836,0.5770835193787569,5,2,0.11541670387575138,6.0
6.0,0.21,0.3,8.7,0.036,47.0,127.0,0.99368,3.18,0.39,10.6,5,1,White,Low,5.5556235,0.5556233691543175,5,2,0.11112467383086351,6.0
6.0,0.21,0.34,2.0,0.042,63.0,123.0,0.99052,3.44,0.42,11.4,6,1,White,Mid,6.3222504,0.32225042032487217,5,1,0.0537084033874787,6.0
6.0,0.21,0.38,0.8,0.02,22.0,98.0,0.98941,3.26,0.32,11.8,6,1,White,Mid,6.2106075,0.21060770492300307,5,0,0.035101284153833845,6.0
6.0,0.22,0.23,5.0,0.045,10.0,122.0,0.99261,2.94,0.63,10.0,6,1,White,Mid,5.5638337,-0.4361662326474871,3,1,-0.07269437210791452,6.0
6.0,0.22,0.25,11.1,0.056,112.0,177.0,0.9961,3.08,0.36,9.4,6,1,White,Mid,5.499187,-0.5008130237304975,3,1,-0.08346883728841625,5.0
6.0,0.22,0.28,1.1,0.034,47.0,90.0,0.98862,3.22,0.38,12.6,6,1,White,Mid,6.3255577,0.3255578519907223,5,1,0.05425964199845371,6.0
6.0,0.23,0.15,9.7,0.048,101.0,207.0,0.99571,3.05,0.3,9.1,5,1,White,Low,5.258568,0.25856786202617066,5,0,0.05171357240523413,5.0
6.0,0.24,0.27,1.9,0.048,40.0,170.0,0.9938,3.64,0.54,10.0,7,1,White,Mid,6.2348113,-0.7651889177269702,3,2,-0.10931270253242431,6.0
6.0,0.24,0.32,6.3,0.03,34.0,129.0,0.9946,3.52,0.41,10.4,5,1,White,Low,5.8469977,0.8469975906885789,6,3,0.16939951813771578,6.0
6.0,0.24,0.33,2.5,0.026,31.0,85.0,0.99014,3.13,0.5,11.3,7,1,White,Mid,6.427935,-0.5720648378665576,3,2,-0.08172354826665108,6.0
6.0,0.24,0.41,1.3,0.036,42.0,118.0,0.99018,3.04,0.64,11.73333333,6,1,White,Mid,6.1690803,0.1690801890778788,4,0,0.028180031512979802,6.0
6.0,0.24,0.41,1.3,0.036,42.0,118.0,0.99018,3.04,0.64,11.75,6,1,White,Mid,6.174471,0.1744707835620929,4,0,0.02907846392701548,6.0
6.0,0.25,0.28,7.7,0.053,37.0,132.0,0.99489,3.06,0.5,9.4,6,1,White,Mid,5.6665297,-0.3334703613158867,3,1,-0.055578393552647785,6.0
6.0,0.25,0.4,5.7,0.052,56.0,152.0,0.99398,3.16,0.88,10.5,6,1,White,Mid,5.928455,-0.07154536021104985,4,0,-0.011924226701841642,6.0
6.0,0.25,0.4,5.7,0.052,56.0,152.0,0.99398,3.16,0.88,10.5,6,1,White,Mid,5.928455,-0.07154536021104985,4,0,-0.011924226701841642,6.0
6.0,0.26,0.15,1.2,0.053,35.0,124.0,0.99347,3.08,0.46,8.8,5,1,White,Low,5.163408,0.1634076385414538,4,0,0.03268152770829076,5.0
6.0,0.26,0.24,1.3,0.053,66.0,150.0,0.9924,3.21,0.62,10.4,6,1,White,Mid,5.7795143,-0.22048580943549023,4,0,-0.03674763490591504,6.0
6.0,0.26,0.26,2.2,0.035,10.0,72.0,0.989465,3.11,0.48,12.15,6,1,White,Mid,6.164458,0.1644579052341113,4,0,0.027409650872351882,6.0
6.0,0.26,0.29,1.0,0.032,27.0,96.0,0.9896,3.38,0.44,12.3,6,1,White,Mid,6.3434925,0.3434922776082976,5,1,0.05724871293471626,6.0
6.0,0.26,0.29,3.1,0.041,37.0,144.0,0.98944,3.22,0.39,12.8,7,1,White,Mid,6.7114825,-0.2885177134518395,4,1,-0.041216816207405645,7.0
6.0,0.26,0.32,3.5,0.028,29.0,113.0,0.9912,3.4,0.71,12.3,7,1,White,Mid,6.966608,-0.03339182776763394,4,0,-0.004770261109661992,7.0
6.0,0.26,0.5,2.2,0.048,59.0,153.0,0.9928,3.08,0.61,9.8,5,1,White,Low,5.6365023,0.6365024829225101,5,2,0.12730049658450202,6.0
6.0,0.27,0.19,1.7,0.02,24.0,110.0,0.9898,3.32,0.47,12.6,7,1,White,Mid,6.5256124,-0.47438767330394427,3,1,-0.06776966761484918,7.0
6.0,0.27,0.27,1.6,0.046,32.0,113.0,0.9924,3.41,0.51,10.5,7,1,White,Mid,6.3759766,-0.6240232692908254,3,2,-0.08914618132726078,6.0
